Name,Team,GP,Min,M-FG,A-FG,Pct-FG,M-3PT,A-3PT,Pct-3PT,M-FT,A-FT,Pct-FT,Off-Rb,Def-Rb,Tot-Rb,Ast,TO,Stl,Blk,PF,PPG
Metta World Peace,LAL,31,16.6,1.4,4.8,29.3,0.6,2.3,27.8,1,1.5,66,0.6,1.9,2.5,0.8,0.5,0.6,0.3,2,4.5
Jeff Withey,UTA,46,13.3,1.7,3.3,53.3,0,0,0,0.9,1.2,73.2,1.2,2.3,3.4,0.4,0.6,0.4,1.1,1.5,4.4
Jonas Jerebko,BOS,70,14.7,1.5,3.6,41.7,0.6,1.4,40.6,0.8,1,78.3,1,2.6,3.6,0.8,0.7,0.2,0.3,1.8,4.4
Tyus Jones,MIN,29,14.4,1.6,4.3,36,0.5,1.3,35.9,0.8,1,76.7,0.2,1.1,1.3,2.7,1,0.7,0.1,0.8,4.4
Spencer Dinwiddie,DET,9,12.3,1.6,3.9,40,0.1,0.8,14.3,1.2,2.1,57.9,0,1,1,1.4,0.6,0.2,0,1.8,4.4
C.J. Watson,ORL,26,20.5,1.3,4.3,31.3,0.5,1.7,27.9,1.2,1.3,85.7,0.3,1.8,2.2,2.8,0.8,0.6,0.2,1.5,4.3
Joakim Noah,CHI,29,21.9,1.8,4.6,38.3,0,0,0,0.8,1.6,48.9,3,5.8,8.8,3.8,1.8,0.6,1,2.7,4.3
Nemanja Bjelica,MIN,52,16.9,1.6,3.7,42.4,0.7,2,33.3,0.5,0.8,67.5,0.7,2.4,3.1,1.3,0.7,0.4,0.3,2.5,4.3
Kyle Anderson,SA,70,15.3,1.7,3.6,46.9,0.1,0.5,31.3,0.8,1,76.1,0.3,2.5,2.8,1.5,0.8,0.7,0.4,1.2,4.3
Chase Budinger,PHO,59,14.5,1.6,3.8,42.6,0.4,1.4,28.4,0.6,0.8,72,0.7,1.7,2.4,0.9,0.6,0.5,0.2,1,4.2
Marcelo Huertas,LAL,45,14.7,1.7,3.8,43.9,0.3,1.2,28.3,0.5,0.5,95.5,0.3,1.2,1.6,3.2,1.4,0.5,0.2,1.4,4.2
Steve Blake,DET,50,16.7,1.5,4,38.1,0.8,2.5,33.6,0.2,0.3,75,0.2,1.3,1.5,3.3,1.5,0.4,0.1,1.3,4.2
